date,holiday
2015-01-01,Neujahr
2015-04-03,Karfreitag
2015-04-05,Ostersonntag
2015-04-06,Ostermontag
2015-05-01,Tag der Arbeit
2015-05-14,Christi Himmelfahrt
2015-05-24,Pfingstsonntag
2015-05-25,Pfingstmontag
2015-10-03,Tag der deutschen Einheit
2015-12-24,Heiligabend
2015-12-25,1. Weihnachtsfeiertag
2015-12-26,2. Weihnachtsfeiertag
2016-01-01,Neujahr
2016-03-25,Karfreitag
2016-03-27,Ostersonntag
2016-03-28,Ostermontag
2016-05-01,Tag der Arbeit
2016-05-05,Christi Himmelfahrt
2016-05-15,Pfingstsonntag
2016-05-16,Pfingstmontag
2016-10-03,Tag der deutschen Einheit
2016-12-24,Heiligabend
2016-12-25,1. Weihnachtsfeiertag
2016-12-26,2. Weihnachtsfeiertag
2017-01-01,Neujahr
2017-04-14,Karfreitag
2017-04-16,Ostersonntag
2017-04-17,Ostermontag
2017-05-01,Tag der Arbeit
2017-05-25,Christi Himmelfahrt
2017-06-04,Pfingstsonntag
2017-06-05,Pfingstmontag
2017-10-03,Tag der deutschen Einheit
2017-12-24,Heiligabend
2017-12-25,1. Weihnachtsfeiertag
2017-12-26,2. Weihnachtsfeiertag
