date,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,sum
2015-01-01,49306.25,46952.5,45751.5,45306.25,45423,45701.5,44075.75,47503.5,49866.25,52540.25,54850.25,57475,57693.25,55232.75,54719.5,54937,56718.5,60389,61435.25,60430.75,57568.75,55394.75,55242.5,52134.25,1266648.25
2015-01-02,46958.5,45447.5,44504.5,44500,45682.25,47670.5,51053,57471,60227.75,61800,63124.5,64366.5,64094.5,61972.25,61529.5,61547.25,63086.75,66175.5,66062.5,63967.5,59697,55230.5,53440.25,51587.25,1361196.75
2015-01-03,49303.75,47681.75,46503.75,46426.75,46867.75,46871.5,47253.5,50228.75,54075.5,57349,59584,60883.5,60355.75,59175.25,57918.25,57216.5,58715.25,60736.5,60882.75,59466,56310.5,54281.5,54044.5,51233,1303365.25
2015-01-04,47679.25,45316.25,44148.75,44226,44207,43797,42139,43424.25,46705.25,50637.25,53040.25,55546.5,55772.25,54083.25,52563.25,52298.25,53813,57806.75,59212.25,57940.75,54966.25,53676.5,54002.5,51566.5,1218568.25
2015-01-05,50326.5,48599.5,47364,47292.25,48370.25,51110.5,57042.25,62795.5,65413,66632.5,68106.25,69352,69628,68316,66428,67398.75,67484.25,69386,70288,69327,65378.75,62015.75,60043,55475,1473573
2015-01-06,52335.5,50963.75,49733.25,49485.75,50344.5,52804.5,57623,62920,66005.5,67659.25,69159.75,70539.25,70284.75,69087.75,66353,67252.5,67231.5,69219.75,70119.75,69519.5,66033.25,62859,61032,56566.5,1495133.25
2015-01-07,53114.25,50784,49692.75,49799.25,51661.5,54601.25,61002.25,67552.25,69967.75,70590.75,71689.75,72953.5,72430.25,71542.75,71025.75,70844,71370,74003.75,73938.5,71698,67111.25,63521.5,61327.5,56988,1549210.5
2015-01-08,54437.5,52171.5,50993.5,51049,52044.5,54791,60122.5,67408.5,70180,70913.75,71825,73237.75,72649.5,70389.75,69420,69660.5,70401.5,73588.25,73943,72008,67641.25,63705,61782.75,57626,1551990
2015-01-09,54098.75,52627.5,51514.75,51768.75,53379.75,55947.5,61507.25,69012.5,72065,72447.25,72805,73830,72775.25,70105.5,69449.5,69419,70179.5,73132.75,73228,71389,67328.25,62673.5,59979,57396.5,1558059.75
2015-01-10,54760.5,53300.25,51961.75,51746.75,52375.75,52284.5,52771,56024,59516.75,62534.75,64191.75,65717.75,64711.75,63078,62252.25,61386,63436.75,65854.25,65902,63494.75,59869.75,57495.25,57255,54701,1416622.25
2015-01-11,51435,48887.5,47726.5,47767.5,47979,48031,47501.75,49656.25,52536.75,55631.25,58019,60670.25,60457.75,58380.25,56812,56548,57929,62700.75,64060.25,62618.25,59525.75,57737.25,57935.5,54847.75,1325394.25
2015-01-12,52000.25,50086.25,49233.25,49497.25,51145.25,55012,63111.75,70476.25,73812.25,74690.75,75960.5,77135.25,77098.5,75934.75,73988.75,74976.75,74980.25,77859.25,77897.5,75782.25,71128.25,67409.5,64436,58940.25,1612593
2015-01-13,54465.75,53399,52425.25,52579.75,54014.5,57267.25,63941.5,70743.5,73584.75,74250,75142.75,76093.75,75732.5,74594.75,71932,73248,73818.75,77309.5,77850.25,75053.25,70140.75,66599.5,64203.25,58865.75,1617256
2015-01-14,57384.75,54740.25,53595.75,53712.25,55825.25,59472,67118.25,74721.75,77498.5,77586.75,78174.75,79393.75,78292.25,77069.75,76140,75795,76086.75,78928,78945.25,77616.25,73205.75,69194.75,66485,61242.75,1678225.5
2015-01-15,57793.75,55329,54167,54393,55752.75,59211.5,66149.75,75040.5,78493.75,78743.25,79672.25,80817.5,79733.25,77444,76181.5,75991.75,76620.25,79447,79192.5,76824.25,72009,68008.5,65678.5,60799,1683493.5
2015-01-16,56236,54639.25,53618.25,53927,55746.5,59048.75,66104.25,74566.5,77856.5,77961,78378.75,79465.5,77991.5,75233,74352,74096.75,74693.5,77782.5,77801,74888.75,70264.25,65583.5,62686.25,59826.25,1652747.5
2015-01-17,56376.75,54545.75,52985.25,52695.25,53318,53278.5,54669.25,58770.75,62667,65265,66673.5,68037.75,66981.75,65114.75,63703.75,62594.5,64305.25,67245.25,68182.75,66200,62172,59666.25,59514.25,56393.25,1461356.5
2015-01-18,52909.5,50380.25,48969.5,49280.75,49686.25,49742.25,49388.5,51658.25,54852.25,58117.75,60781.25,63205.75,62909,61013.25,59518.5,59152,60195.25,65198.25,66870,65562.25,62117.5,60079.75,60594.5,57310,1379492.5
2015-01-19,53671.5,51794.75,50849.75,50968.25,52643.75,56481.75,65665.25,73920.25,77103.75,77391.5,78803,79633.75,79005,77312,76644.5,76601.75,76346,78819.75,79600.25,77712.25,73286.25,69644.75,66343.5,60786.25,1661029.5
2015-01-20,56838.25,55399.75,54246.25,54227.25,55288.25,58243.5,66260.75,74006,76664,76835,77878,78392,77685.75,76710.25,74469.75,74458.75,74431.5,77721.25,78636.5,77016.25,72682,68837.75,65984,59954,1662866.75
2015-01-21,56555.25,54075.25,53149.75,53329,54682.5,58174.5,66385,73996.75,76766.75,76952.5,77865.5,78617.75,78124.25,76977.75,75515.25,75239.5,75170.5,78010.75,78377,76107.75,71673.5,67894,64945.75,59412,1657998.5
2015-01-22,57568.5,55306.75,54053.25,54106.5,55206,58383.75,66384.25,74372,77005.75,77159.75,76314.25,78609.75,77914.75,76181.5,75270.5,75665.25,75417.25,78474.75,78932.75,76172,71518.5,67326.5,64361.5,60328.75,1662034.5
2015-01-23,57332,54928.75,53799.25,54066.25,55656.25,58833.25,66621.25,74639.75,77372.5,77539.25,78001.5,78878.5,77920.25,74992.5,73886.25,73529.75,73725.5,77092.5,77224.75,74833,70280.75,65790.5,62899.5,59411.5,1649255.25
2015-01-24,56350.5,54793.25,53187,52844.75,53222,53025.25,54372.5,58117.75,60839.75,64601.75,66333.5,68468.75,66632.5,64745.75,63011.25,60126,62451.25,65711.75,66887.75,62788.25,59505.25,59099.25,59068.25,56147.5,1442331.5
2015-01-25,52977.5,49507.75,47865,48523.5,48059.5,48210,47742.75,50175.25,52823,56567,59385.75,62035.5,61774.25,59291,57905.25,57592.25,58435,62866,64090.75,63400.75,60551.5,58864,59296.75,56086.75,1344026.75
2015-01-26,51622,50451.25,49420.5,49566.5,51128.25,55065.75,63873.5,72330.75,75538.75,76191.5,77459.25,78144.25,77694.5,74955.25,74044.5,75928,75240,77904,78518.5,76475.75,72003.5,68217.5,64100,59352.75,1625226.5
2015-01-27,57439,55241.25,53993.5,54069,55460.75,59154.25,67473.25,75335.75,78401.5,78228,78721.5,80206.25,79268,78327.25,74524.25,76589.25,76622.25,79407.5,80312,77926,73151,69248.75,63100.75,58589.75,1680790.75
2015-01-28,59242,56933.25,55884.25,56270,57657.75,60964.25,68791.25,76380.75,79224.25,79443.5,79846.5,81208,80170.25,77744.5,75644.75,76768,76720,79201.25,80179.25,76720.25,73725,68891.75,65619.25,60826.5,1704056.5
