date,gas,CO2
2015-01-01,21.18,8.06
2015-01-02,20.75,7.83
2015-01-03,20.6,7.79
2015-01-04,20.45,7.76
2015-01-05,20.3,7.72
2015-01-06,19.83,7.6
2015-01-07,19.38,7.58
2015-01-08,19.13,7.58
2015-01-09,19.48,7.48
2015-01-10,19.44,7.48
2015-01-11,19.41,7.49
2015-01-12,19.38,7.49
2015-01-13,19.75,8.12
2015-01-14,19.83,7.97
2015-01-15,19.89,7.93
2015-01-16,19.9,7.92
2015-01-17,19.76,7.94
2015-01-18,19.63,7.97
2015-01-19,19.49,7.99
2015-01-20,19.23,7.93
2015-01-21,18.91,8.13
2015-01-22,19.31,7.52
2015-01-23,19.43,7.58
2015-01-24,19.43,7.59
2015-01-25,19.43,7.59
2015-01-26,19.43,7.6
2015-01-27,19.54,7.58
2015-01-28,20.1,7.72
2015-01-29,20.41,7.81
2015-01-30,20.73,7.83
2015-01-31,20.57,7.84
2015-02-01,20.41,7.86
2015-02-02,20.25,7.87
2015-02-03,20.96,7.8
2015-02-04,20.98,7.67
2015-02-05,21.34,7.73
2015-02-06,21.65,7.67
2015-02-07,21.53,7.65
2015-02-08,21.42,7.64
2015-02-09,21.3,7.62
2015-02-10,21.51,7.84
2015-02-11,22.25,7.98
2015-02-12,23.23,8.12
2015-02-13,24.1,8.38
2015-02-14,23.85,8.39
2015-02-15,23.6,8.39
2015-02-16,23.35,8.4
2015-02-17,23.16,8.2
2015-02-18,22.88,8.22
2015-02-19,22.94,8.02
2015-02-20,22.08,8.0
2015-02-21,22.2,8.14
2015-02-22,22.33,8.28
2015-02-23,22.45,8.42
2015-02-24,21.95,8.15
2015-02-25,22.7,8.07
2015-02-26,23.14,7.74
2015-02-27,23.73,7.79
2015-02-28,23.7,7.72
2015-03-01,23.68,7.65
2015-03-02,23.65,7.58
2015-03-03,23.31,7.38
2015-03-04,22.18,7.71
2015-03-05,22.41,7.39
2015-03-06,21.94,7.46
2015-03-07,22.0,7.41
2015-03-08,22.06,7.37
2015-03-09,22.13,7.32
2015-03-10,21.89,7.47
2015-03-11,22.04,7.4
2015-03-12,22.15,7.02
2015-03-13,21.93,7.08
2015-03-14,21.78,7.09
2015-03-15,21.63,7.09
2015-03-16,21.48,7.1
2015-03-17,21.35,7.33
2015-03-18,21.21,7.34
2015-03-19,21.5,7.28
2015-03-20,21.08,7.68
2015-03-21,21.08,7.67
2015-03-22,21.09,7.66
2015-03-23,21.1,7.65
2015-03-24,21.25,7.64
2015-03-25,21.7,7.58
2015-03-26,21.38,7.54
2015-03-27,22.38,7.36
2015-03-28,22.2,7.4
2015-03-29,22.03,7.44
2015-03-30,21.86,7.48
2015-03-31,21.9,7.5
2015-04-01,22.2,7.73
2015-04-02,23.2,7.72
2015-04-03,23.09,7.71
2015-04-04,22.98,7.7
2015-04-05,22.87,7.7
2015-04-06,22.76,7.69
2015-04-07,22.65,7.68
2015-04-08,22.48,7.69
2015-04-09,22.09,7.6
2015-04-10,22.38,7.54
2015-04-11,22.62,7.49
2015-04-12,22.86,7.43
2015-04-13,23.1,7.38
2015-04-14,22.44,7.38
2015-04-15,21.9,7.42
2015-04-16,22.24,7.44
2015-04-17,22.19,7.43
2015-04-18,21.93,7.53
2015-04-19,21.68,7.63
2015-04-20,21.43,7.73
2015-04-21,21.7,7.68
2015-04-22,21.73,7.69
2015-04-23,21.6,7.84
2015-04-24,21.29,7.89
2015-04-25,21.45,7.85
2015-04-26,21.61,7.81
2015-04-27,21.78,7.77
2015-04-28,21.55,7.92
2015-04-29,21.53,8.05
2015-04-30,21.51,8.02
2015-05-01,20.85,8.07
2015-05-02,20.64,8.11
2015-05-03,20.44,8.16
2015-05-04,20.23,8.2
2015-05-05,20.03,8.15
2015-05-06,20.35,8.15
2015-05-07,20.35,8.04
2015-05-08,20.15,8.12
2015-05-09,20.21,8.15
2015-05-10,20.27,8.19
2015-05-11,20.33,8.22
2015-05-12,21.05,8.2
2015-05-13,21.01,8.24
2015-05-14,20.68,8.16
2015-05-15,20.68,8.19
2015-05-16,20.58,8.2
2015-05-17,20.49,8.21
2015-05-18,20.4,8.22
2015-05-19,20.71,7.99
2015-05-20,20.56,7.96
2015-05-21,20.53,7.9
2015-05-22,20.5,7.88
2015-05-23,20.5,7.87
2015-05-24,20.49,7.86
2015-05-25,20.49,7.84
2015-05-26,20.49,7.83
2015-05-27,20.53,7.8
2015-05-28,20.69,7.82
2015-05-29,20.63,7.9
2015-05-30,20.61,7.88
2015-05-31,20.59,7.85
2015-06-01,20.58,7.83
2015-06-02,20.5,8.01
2015-06-03,20.34,8.09
2015-06-04,20.36,7.99
2015-06-05,20.38,7.99
2015-06-06,20.36,8.01
2015-06-07,20.34,8.02
2015-06-08,20.33,8.04
2015-06-09,20.58,8.15
2015-06-10,20.69,8.16
2015-06-11,20.58,8.08
2015-06-12,20.19,8.15
2015-06-13,20.23,8.13
2015-06-14,20.27,8.11
2015-06-15,20.31,8.09
2015-06-16,20.38,7.97
2015-06-17,20.46,8.02
2015-06-18,20.34,7.98
2015-06-19,20.46,7.97
2015-06-20,20.5,7.99
2015-06-21,20.54,8.02
2015-06-22,20.58,8.04
2015-06-23,20.78,8.04
2015-06-24,20.98,8.01
2015-06-25,20.88,8.12
2015-06-26,20.7,8.09
2015-06-27,20.63,8.03
2015-06-28,20.57,7.98
2015-06-29,20.5,7.92
2015-06-30,20.39,7.98
2015-07-01,20.83,8.01
2015-07-02,20.76,8.0
2015-07-03,21.06,7.97
2015-07-04,21.02,7.95
2015-07-05,20.98,7.92
2015-07-06,20.94,7.9
2015-07-07,21.04,8.0
2015-07-08,20.73,7.98
2015-07-09,20.6,8.0
2015-07-10,20.98,8.14
2015-07-11,20.94,8.19
2015-07-12,20.91,8.24
2015-07-13,20.88,8.29
2015-07-14,21.03,8.25
2015-07-15,21.13,8.3
2015-07-16,21.19,8.2
2015-07-17,21.09,8.24
2015-07-18,21.07,8.34
2015-07-19,21.05,8.43
